DistrictNumber,DistrictType,SchoolNumber,MNSchoolID,SchoolName,Address,City,State,Zipcode,County,Grades,NCESID,StateOrganizationId,ACTID
4159,7,30,4159-07-030,"Seven Hills Preparatory Academy, Richfield Lower School",1401 West 76th Street,Richfield,MN,55423,"Hennepin County, MN", KG-5,270028000000,74159030000,
4159,7,40,4159-07-040,Seven Hills Preparatory Academy ESY,8600 Bloomington Ave S,Bloomington,MN,55425,"Hennepin County, MN", KG-8,2700284,74159040000,
4160,7,0,4160-07,Spectrum High School,17796 Industrial Circle NW,Elk River,MN,55330-4754,"Sherburne County, MN", 6-12,2700276,74160000000,
4160,7,10,4160-07-010,Spectrum High School,17796 Industrial Circle NW,Elk River,MN,55330-4754,"Sherburne County, MN", 9-12,270028000000,74160010000,240721
4160,7,20,4160-07-020,Spectrum Middle School,11044 Industrial Circle NW,Elk River,MN,55330,"Sherburne County, MN",6,270028000000,74160020000,
4160,7,30,4160-07-030,Spectrum Middle School - Grades 7-8,17823 Industrial Circle NW,Elk River,MN,55330,"Sherburne County, MN", 7-8,270028000000,74160030000,
4160,7,30,4160-07-030,Spectrum Middle School - Grades 7-8,17823 Industrial Circle NW,Elk River,MN,55330,"Sherburne County, MN", 7-8,270028000000,74160030000,
4160,7,51,4160-07-051,Spectrum ESY,17796 Industrial Circle NW,Elk River,MN,55330,"Sherburne County, MN", 6-12,2700276,74160051000,
4161,7,0,4161-07,New Discoveries Montessori Academy,1000 5th Ave SE,Hutchinson,MN,55350-7028,"McLeod County, MN", EC-8,2700277,74161000000,
4161,7,10,4161-07-010,New Discoveries Montessori Academy,1000 5th Ave SE,Hutchinson,MN,55350-7028,"McLeod County, MN", EC-8,270028000000,74161010000,
4162,7,0,4162-07,Southside Family Charter School,4500 Clinton Ave S,Minneapolis,MN,55419-5111,"Hennepin County, MN", KG-8,2700278,74162000000,
4162,7,10,4162-07-010,Southside Family Charter School,4500 Clinton Ave S,Minneapolis,MN,55419-5111,"Hennepin County, MN", KG-8,270028000000,74162010000,
4164,7,0,4164-07,Laura Jeffrey Academy Charter,1550 Summit Ave,Saint Paul,MN,55105-2274,"Ramsey County, MN", 5-8,2700292,74164000000,
4164,7,0,4164-07,Laura Jeffrey Academy Charter,1550 Summit Ave,Saint Paul,MN,55105-2274,"Ramsey County, MN", 5-8,2700292,74164000000,
4164,7,10,4164-07-010,Laura Jeffrey Academy Charter,1550 Summit Ave,Saint Paul,MN,55105-2274,"Ramsey County, MN", 5-8,270029000000,74164010000,
4166,7,0,4166-07,East Range Academy of Tech-Science,2000 Siegel Blvd,Eveleth,MN,55734-8642,"Saint Louis County, MN", 9-12,2700291,74166000000,
4166,7,10,4166-07-010,East Range Academy of Tech-Science,2000 Siegel Blvd,Eveleth,MN,55734,"Saint Louis County, MN", 9-12,270029000000,74166010000,240774
4167,7,0,4167-07,International Spanish Language Academy,5959 Shady Oak Rd S,Minnetonka,MN,55343-8969,"Hennepin County, MN", KG-6,2700296,74167000000,
4167,7,10,4167-07-010,International Spanish Language Academy,5959 Shady Oak Rd,Minnetonka,MN,55343,"Hennepin County, MN", KG-6,270030000000,74167010000,
4168,7,0,4168-07,Glacial Hills Elementary,610 W 6th St,Starbuck,MN,56381-9782,"Pope County, MN", PK-6,2700293,74168000000,
4168,7,10,4168-07-010,Glacial Hills Elementary,610 W 6th St,Starbuck,MN,56381-9782,"Pope County, MN", PK-6,270029000000,74168010000,
4169,7,0,4169-07,Stonebridge World School,4530 Lyndale Ave S,Minneapolis,MN,55419-4802,"Hennepin County, MN", PK-8,2700289,74169000000,
