AnalysisLevel,DistrictName,ACTDistrictCode,HighSchoolName,ACTHSCode,GradYear,NumberStudents,AvgEnglish,AvgMath,AvgReading,AvgScience,AvgOverall
School,BEMIDJI AREA SCHOOLS,247030,BEMIDJI HIGH SCHOOL,240215,2021,197,19.7,19.7,19.7,19.7,19.7
School,BEMIDJI AREA SCHOOLS,247030,BEMIDJI HIGH SCHOOL,240215,2022,153,20.3,20.3,20.3,20.3,20.3
School,BEMIDJI AREA SCHOOLS,247030,BEMIDJI HIGH SCHOOL,240215,2023,157,20.4,20.4,20.4,20.4,20.4
School,BENSON PUBLIC SCHOOLS,247826,BENSON JUNIOR SENIOR HIGH SCHOOL,240220,2019,56,19.6,19.6,19.6,19.6,19.6
School,BENSON PUBLIC SCHOOLS,247826,BENSON JUNIOR SENIOR HIGH SCHOOL,240220,2020,44,17.9,17.9,17.9,17.9,17.9
School,BENSON PUBLIC SCHOOLS,247826,BENSON JUNIOR SENIOR HIGH SCHOOL,240220,2021,47,18.4,18.4,18.4,18.4,18.4
School,BENSON PUBLIC SCHOOLS,247826,BENSON JUNIOR SENIOR HIGH SCHOOL,240220,2022,36,17.7,17.7,17.7,17.7,17.7
School,BENSON PUBLIC SCHOOLS,247826,BENSON JUNIOR SENIOR HIGH SCHOOL,240220,2023,28,18.2,18.2,18.2,18.2,18.2
School,BERTHA HEWITT SCHOOLS INDEPENDENT SCHOOL DISTRICT 0786,247830,BERTHA-HEWITT HIGH SCHOOL,240225,2019,23,16.9,16.9,16.9,16.9,16.9
School,BERTHA HEWITT SCHOOLS INDEPENDENT SCHOOL DISTRICT 0786,247830,BERTHA-HEWITT HIGH SCHOOL,240225,2020,23,16.4,16.4,16.4,16.4,16.4
School,BERTHA HEWITT SCHOOLS INDEPENDENT SCHOOL DISTRICT 0786,247830,BERTHA-HEWITT HIGH SCHOOL,240225,2021,29,15.3,15.3,15.3,15.3,15.3
School,BERTHA HEWITT SCHOOLS INDEPENDENT SCHOOL DISTRICT 0786,247830,BERTHA-HEWITT HIGH SCHOOL,240225,2022,21,15.5,15.5,15.5,15.5,15.5
